"Prey","PreyGene","WT_UB_WT_BR_SaintScore","WT_UB_WT_BR_log2FoldChange","WT_UB_WT_BR_MG_SaintScore","WT_UB_WT_BR_MG_log2FoldChange","WT_KO_BR_SaintScore","WT_KO_BR_log2FoldChange","WT_KO_BR_MG_SaintScore","WT_KO_BR_MG_log2FoldChange","SE_UB_WT_BR_SaintScore","SE_UB_WT_BR_log2FoldChange","SE_UB_WT_BR_MG_SaintScore","SE_UB_WT_BR_MG_log2FoldChange","SE_KO_BR_SaintScore","SE_KO_BR_log2FoldChange","SE_KO_BR_MG_SaintScore","SE_KO_BR_MG_log2FoldChange"
"P61247","RPS3A",0.28,1,0.53,2,NA,NA,0,-1.39592867633114,NA,NA,0,-1.73696559416621,0.21,0.678071905112638,0.05,0.263034405833794
"P22626-2","HNRNPA2B1",0.28,1,0.53,2,0.75,2.32192809488736,0.12,0,0,-0.862496476250065,0,-1.47393118833241,0.65,4.05918219921169,0.33,3.32192809488736
"Q7Z6E9-2","RBBP6",0.23,0.584962500721156,0.16,0,0.53,1.8073549220576,0.35,1.58496250072116,0.17,0.411426245726465,0.11,-0.577766999316952,0.32,2.73768676140986,NA,NA
"Q13769","THOC5",0.23,0.321928094887362,NA,NA,0.2,0,0.01,-1.32192809488736,NA,NA,0.33,3.32192809488736,0.17,0,0.08,-0.577766999316952
"Q9BZE4-2","GTPBP4",0.23,0.584962500721156,0.46,1.58496250072116,0.24,0.411426245726465,NA,NA,0.33,3.73660487531425,NA,NA,NA,NA,NA,NA
"Cont_P20930","Cont_P20930",0.23,0.263034405833794,NA,NA,0.27,0.739848102699327,0.06,-0.577766999316952,NA,NA,NA,NA,NA,NA,NA,NA
"P52272-2","HNRNPM",0.23,1,0.34,1,0,-0.643856189774725,0,-0.810966175609983,0,-1,0,-1,NA,NA,NA,NA
"Cont_Q5D862","Cont_Q5D862",0.17,0,0.29,1,NA,NA,NA,NA,0.32,2.73768676140986,NA,NA,NA,NA,NA,NA
"Cont_P19012","Cont_P19012",0.17,0,0.56,1.73552217729654,NA,NA,0.31,2.73768676140986,0.32,2.73768676140986,0.32,2.73768676140986,NA,NA,NA,NA
"P23396","RPS3",0.17,0,NA,NA,0.4,1.16992500144231,0.2,0.807354922057604,0.39,1.22032995487956,0.44,1.22032995487956,NA,NA,0.47,1.58496250072116
"P68400","CSNK2A1",0.17,0,0.27,0.739848102699327,0.65,4.05918219921169,NA,NA,0.66,2.16992500144231,0.88,2.70043971814109,0.49,1.58496250072116,0.48,2
"Q92900-2","UPF1",0.16,0,NA,NA,NA,NA,NA,NA,0.32,2.73768676140986,NA,NA,NA,NA,NA,NA
"Q5C9Z4","NOM1",0.16,0,0.16,0,NA,NA,NA,NA,0.32,2.73768676140986,NA,NA,NA,NA,NA,NA
"Cont_P02662","Cont_P02662",0.16,0,0.23,0.584962500721156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
